,id,company_name,job_title,location,job_link,type
239,240,Paytm,ASM (Retail Sales) -  Manager,"Ludhiana, Punjab",https://jobs.lever.co/paytm/cabb0889-740f-4491-a98f-d8e3f02c9a15,Marketing
240,241,Paytm,ASM (Retail Sales) -  Manager (hyderabad),"Hyderabad, Telangana",https://jobs.lever.co/paytm/198b8f2f-bb6c-4cfb-9cd7-c11438a3fd0b,Marketing
241,242,Paytm,ASM (Retail Sales) -Manager,"Chennai, Tamil Nadu",https://jobs.lever.co/paytm/633b1d71-b2d7-4aeb-97db-79e86a34e37a,Marketing
242,243,Paytm,ASM (Retail Sales) -Manager,"Ghaziabad, Uttar Pradesh",https://jobs.lever.co/paytm/18a58b5b-7735-4bbc-9ac8-bc4a6857a252,Marketing
243,244,Paytm,Bengaluru - Team Lead - Sales,"Bengaluru, Karnataka",https://jobs.lever.co/paytm/7c91e12a-ca29-4b0d-8dae-37fd6a85454c,Marketing
244,245,Paytm,Bengaluru -Territory Sales Manager - Sales,"Bengaluru, Karnataka",https://jobs.lever.co/paytm/01468705-e065-4ec1-b5b1-84dcb4ba9a41,Marketing
245,246,Paytm,City Head - Hyderabad - QR sales,"Hyderabad, Telangana",https://jobs.lever.co/paytm/63a37622-5825-4505-a48c-b7a1ea4702df,Marketing
246,247,Paytm,Key Account Manager - Chennai,"Chennai, Tamil Nadu",https://jobs.lever.co/paytm/d94bacfe-de9e-4ac0-9448-8976c58d51f1,Other
247,248,Paytm,Key Account Manager - Coimbatore,"Coimbatore, Tamil Nadu",https://jobs.lever.co/paytm/b23d10dc-c162-4979-8420-c538139da8f8,Other
248,249,Paytm,Key Account Manager - Mysore / Mangalore,"Mysore, Karnataka",https://jobs.lever.co/paytm/687f1867-67cc-400f-9901-8a37b2e9a42d,Other
249,250,Paytm,Key Account Manager / Senior Key Account Manager,"Chennai, Tamil Nadu",https://jobs.lever.co/paytm/838ecdb9-97f5-4403-9a4b-0448e77a6e68,Other
250,251,Paytm,Key Account Manager / Senior Key Account Manager,"Coimbatore, Tamil Nadu",https://jobs.lever.co/paytm/19ebf0cc-382f-41d0-b55e-7c15bc174243,Other
251,252,Paytm,Micro Market Manager - Hyderabad,"Hyderabad, Telangana",https://jobs.lever.co/paytm/a904668b-0c77-4b25-9b3e-b66f907cb4b0,Other
252,253,Paytm,Micro Market Manager - Mysore,"Mysore, Karnataka",https://jobs.lever.co/paytm/eb51a8b2-1f43-42c7-b2c9-7f987363f321,Other
253,254,Paytm,Micro Market Manager - QR - Bhopal,"Bhopal, Madhya Pradesh",https://jobs.lever.co/paytm/6061b2f3-56c3-49a7-ba45-0f525a1a5aa8,Other
254,255,Paytm,Micro Market Manager - QR - Chennai,"Chennai, Tamil Nadu",https://jobs.lever.co/paytm/8d3cfa49-096a-480f-a150-391c003a35cf,Other
255,256,Paytm,Micro Market Manager - QR - GOA,Goa,https://jobs.lever.co/paytm/9e97ea15-f205-4241-81c1-cd28fae42530,Other
256,257,Paytm,Micro Market Manager - QR - Jaipur,"Jaipur, Rajasthan",https://jobs.lever.co/paytm/03f7559d-1a12-4570-b142-87b71094382e,Other
257,258,Paytm,Micro Market Manager - Tirupati,"Tirupati, Andhra Pradesh",https://jobs.lever.co/paytm/4e4ca793-3d4e-4d64-9943-075d8b43d655,Other
258,259,Paytm,MICRO MARKET MANAGER : Aurangabad (QR Sales),"Aurangabad, Maharashtra",https://jobs.lever.co/paytm/5f523114-e3e3-47ee-8438-47cf3dda2f29,Marketing
259,260,Paytm,MICRO MARKET MANAGER : Nashik (QR Sales),"Nashik, Maharashtra",https://jobs.lever.co/paytm/8ec8197f-4d20-43fc-bc92-b578b299bf76,Marketing
260,261,Paytm,Paytm - Key Account Manager - Bangalore,"Bengaluru, Karnataka",https://jobs.lever.co/paytm/9f9d08a8-19ff-4948-8624-6555253edb39,Other
261,262,Paytm,Paytm - Key Account Manager - South,"Hyderabad, Telangana",https://jobs.lever.co/paytm/cd802b71-c51d-4a09-a78a-7124799152f1,Other
262,263,Paytm,Sales - Team Lead,"Bangalore, Karnataka",https://jobs.lever.co/paytm/b0f6a7d3-b5e0-4bf2-92a7-df9a1e5c8824,Marketing
263,264,Paytm,Sales-Team Lead,"Jaipur, Rajasthan",https://jobs.lever.co/paytm/5f0adeb1-5bf5-4dd9-8e84-4993459fd615,Marketing
264,265,Paytm,Senior Associate/Team Lead/ Junior Manager - South Delhi,Delhi-NCR,https://jobs.lever.co/paytm/4a47ada9-a130-49b4-bea0-e7684608b0a5,Other
265,266,Paytm,Team Lead - Sales - Bangalore,"Bengaluru, Karnataka",https://jobs.lever.co/paytm/54c0fe14-89e4-4141-83b7-5327f3f680fb,Marketing
266,267,Paytm,Team Lead - Sales - Goa,Goa,https://jobs.lever.co/paytm/07f65ed4-d191-4e35-9783-edd97d089dbb,Marketing
267,268,Paytm,Team Lead - Sales - Hyderabad,"Hyderabad, Telangana",https://jobs.lever.co/paytm/489b3353-1d27-4751-a32c-3f1082372db1,Marketing
268,269,Paytm,Team Lead - Sales Chennai,"Chennai, Tamil Nadu",https://jobs.lever.co/paytm/10aa430c-f7c6-46b2-8b93-f60ab1e1adf6,Marketing
269,270,Paytm,Team Lead / Area Sales Manager - Hyderabad  - QR,"Hyderabad, Telangana",https://jobs.lever.co/paytm/40fe5094-4b63-496b-a023-4c769091b16e,Marketing
270,271,Paytm,Team Lead / ASM - Chennai - QR,"Chennai, Tamil Nadu",https://jobs.lever.co/paytm/281630c9-16b6-4ca4-922b-196e7f99e4e9,Other
